dma-kmalloc-512,1
12164,8
ext4_inode_cache,40007
xfs_inode,246
kmalloc-1024,152
task_struct,78
kmalloc-2048,75
sighand_cache,56
TCP,39
mm_struct,38
signal_cache,37
kmalloc-4096,36
cifs_request,31
kmalloc-8192,23
idr_layer_cache,20
RAW,17
TCPv6,9
UDPv6,8
UDP,8
bdev_cache,7
blkdev_queue,6
AF_VSOCK,1
mqueue_inode_cache,1
17970,1
dentry,27497
buffer_head,24145
kmalloc-64,5394
kmalloc-192,4969
sysfs_dir_cache,742
ext4_groupinfo_4k,635
ext4_extent_status,571
anon_vma,282
selinux_inode_security,252
kmalloc-96,169
shared_policy_node,156
xfs_ili,154
kmalloc-128,146
Acpi-ParseExt,122
uhci_urb_priv,98
jbd2_journal_head,96
ext4_free_data,50
ext4_io_end,50
xfs_log_ticket,42
Acpi-Namespace,40
fsnotify_event,34
jbd2_revoke_record_s,25
kmalloc-16,24
kmalloc-32,22
kmalloc-8,17
blkdev_ioc,14
ext4_allocation_context,8
jbd2_journal_handle,8
fsnotify_event_holder,8
sigqueue,8
kmem_cache_node,8
jbd2_revoke_table_s,2
17970,2
vm_area_struct,1095
kmalloc-256,466
blkdev_requests,92
nf_conntrack_ffffffff81a25e00,53
xfs_efd_item,40
cfq_queue,32
tw_sock_TCP,16
kmem_cache,9
xfs_btree_cur,8
tw_sock_TCPv6,8
dquot,8
taskstats,8
numa_policy,1
17970,4
cifs_inode_cache,8785
radix_tree_node,7962
inode_cache,435
proc_inode_cache,180
kmalloc-512,153
shmem_inode_cache,93
sock_inode_cache,62
scsi_cmd_cache,37
files_cache,32
xfs_da_state,8
hugetlbfs_inode_cache,2
rpc_inode_cache,1
dma-kmalloc-512,1
17970,8
ext4_inode_cache,36676
xfs_inode,246
kmalloc-1024,152
task_struct,78
kmalloc-2048,74
sighand_cache,56
TCP,39
mm_struct,39
signal_cache,37
kmalloc-4096,36
cifs_request,34
kmalloc-8192,23
idr_layer_cache,20
RAW,17
TCPv6,9
UDPv6,8
UDP,8
bdev_cache,7
blkdev_queue,6
AF_VSOCK,1
mqueue_inode_cache,1
18014,1
dentry,43441
buffer_head,22440
kmalloc-64,6130
kmalloc-192,4969
sysfs_dir_cache,742
ext4_groupinfo_4k,635
ext4_extent_status,546
anon_vma,282
selinux_inode_security,252
kmalloc-96,170
shared_policy_node,156
xfs_ili,154
kmalloc-128,145
Acpi-ParseExt,122
uhci_urb_priv,98
jbd2_journal_head,96
ext4_free_data,50
ext4_io_end,50
xfs_log_ticket,42
Acpi-Namespace,40
fsnotify_event,34
jbd2_revoke_record_s,25
kmalloc-16,24
kmalloc-32,22
kmalloc-8,17
blkdev_ioc,14
ext4_allocation_context,8
jbd2_journal_handle,8
fsnotify_event_holder,8
sigqueue,8
kmem_cache_node,8
jbd2_revoke_table_s,2
18014,2
vm_area_struct,1112
kmalloc-256,467
blkdev_requests,91
nf_conntrack_ffffffff81a25e00,53
xfs_efd_item,40
cfq_queue,32
tw_sock_TCP,16
kmem_cache,9
xfs_btree_cur,8
tw_sock_TCPv6,8
dquot,8
taskstats,8
numa_policy,1
18014,4
radix_tree_node,7894
cifs_inode_cache,6541
inode_cache,435
proc_inode_cache,180
kmalloc-512,153
shmem_inode_cache,93
sock_inode_cache,62
scsi_cmd_cache,38
files_cache,32
xfs_da_state,8
hugetlbfs_inode_cache,2
rpc_inode_cache,1
dma-kmalloc-512,1
18014,8
ext4_inode_cache,51826
xfs_inode,246
kmalloc-1024,152
task_struct,78
kmalloc-2048,74
sighand_cache,56
TCP,39
mm_struct,39
signal_cache,37
kmalloc-4096,36
cifs_request,31
kmalloc-8192,23
idr_layer_cache,20
RAW,17
TCPv6,9
UDPv6,8
UDP,8
bdev_cache,7
blkdev_queue,6
AF_VSOCK,1
mqueue_inode_cache,1
